"","Pclass","Sex","Age","Fare","Embarked","WithCabin","Survived","PassAlone"
"1","3","male",22,7.25,"S","0","0","0"
"2","1","female",38,71.2833,"C","1","1","0"
"3","3","female",26,7.925,"S","0","1","1"
"4","1","female",35,53.1,"S","1","1","0"
"5","3","male",35,8.05,"S","0","0","1"
"6","3","male",33.2932182311442,8.4583,"Q","0","0","1"
"7","1","male",54,51.8625,"S","1","0","1"
"8","3","male",2,21.075,"S","0","0","0"
"9","3","female",27,11.1333,"S","0","1","0"
"10","2","female",14,30.0708,"C","0","1","0"
"11","3","female",4,16.7,"S","1","1","0"
"12","1","female",58,26.55,"S","1","1","1"
"13","3","male",20,8.05,"S","0","0","1"
"14","3","male",39,31.275,"S","0","0","0"
"15","3","female",14,7.8542,"S","0","0","1"
"16","2","female",55,16,"S","0","1","1"
"17","3","male",2,29.125,"Q","0","0","0"
"18","2","male",42.0747150386186,13,"S","0","1","1"
"19","3","female",31,18,"S","0","0","0"
"20","3","female",23.7009518936014,7.225,"C","0","1","1"
"21","2","male",35,26,"S","0","0","1"
"22","2","male",34,13,"S","1","1","1"
"23","3","female",15,8.0292,"Q","0","1","1"
"24","1","male",28,35.5,"S","1","1","1"
"25","3","female",8,21.075,"S","0","0","0"
"26","3","female",38,31.3875,"S","0","1","0"
"27","3","male",28.8817756871224,7.225,"C","0","0","1"
"28","1","male",19,263,"S","1","0","0"
"29","3","female",21.9797185442653,7.8792,"Q","0","1","1"
"30","3","male",25.0017226744167,7.8958,"S","0","0","1"
"31","1","male",40,27.7208,"C","0","0","1"
"32","1","female",40.6900979471917,146.5208,"C","1","1","0"
"33","3","female",23.7702469148113,7.75,"Q","0","1","1"
"34","2","male",66,10.5,"S","0","0","1"
"35","1","male",28,82.1708,"C","0","0","0"
"36","1","male",42,52,"S","0","0","0"
"37","3","male",27.123249183363,7.2292,"C","0","1","1"
"38","3","male",21,8.05,"S","0","0","1"
"39","3","female",18,18,"S","0","0","0"
"40","3","female",14,11.2417,"C","0","1","0"
"41","3","female",40,9.475,"S","0","0","0"
"42","2","female",27,21,"S","0","0","0"
"43","3","male",26.2210054765378,7.8958,"C","0","0","1"
"44","2","female",3,41.5792,"C","0","1","0"
"45","3","female",19,7.8792,"Q","0","1","1"
"46","3","male",24.8297669247631,8.05,"S","0","0","1"
"47","3","male",31.4446128966223,15.5,"Q","0","0","0"
"48","3","female",23.5143960989605,7.75,"Q","0","1","1"
"49","3","male",20.7784727142836,21.6792,"C","0","0","0"
"50","3","female",18,17.8,"S","0","0","0"
"51","3","male",7,39.6875,"S","0","0","0"
"52","3","male",21,7.8,"S","0","0","1"
"53","1","female",49,76.7292,"C","1","1","0"
"54","2","female",29,26,"S","0","1","0"
"55","1","male",65,61.9792,"C","1","0","0"
"56","1","male",41.1382633436048,35.5,"S","1","1","1"
"57","2","female",21,10.5,"S","0","1","1"
"58","3","male",28.5,7.2292,"C","0","0","1"
"59","2","female",5,27.75,"S","0","1","0"
"60","3","male",11,46.9,"S","0","0","0"
"61","3","male",22,7.2292,"C","0","0","1"
"62","1","female",38,80,"S","1","1","1"
"63","1","male",45,83.475,"S","1","0","0"
"64","3","male",4,27.9,"S","0","0","0"
"65","1","male",41.4061742318343,27.7208,"C","0","0","1"
"66","3","male",24.2523103174603,15.2458,"C","0","1","0"
"67","2","female",29,10.5,"S","1","1","1"
"68","3","male",19,8.1583,"S","0","0","1"
"69","3","female",17,7.925,"S","0","1","0"
"70","3","male",26,8.6625,"S","0","0","0"
"71","2","male",32,10.5,"S","0","0","1"
"72","3","female",16,46.9,"S","0","0","0"
"73","2","male",21,73.5,"S","0","0","1"
"74","3","male",26,14.4542,"C","0","0","0"
"75","3","male",32,56.4958,"S","0","1","1"
"76","3","male",25,7.65,"S","1","0","1"
"77","3","male",26.1111151045527,7.8958,"S","0","0","1"
"78","3","male",26.2726680015156,8.05,"S","0","0","1"
"79","2","male",0.83,29,"S","0","1","0"
"80","3","female",30,12.475,"S","0","1","1"
"81","3","male",22,9,"S","0","0","1"
"82","3","male",29,9.5,"S","0","1","1"
"83","3","female",24.1902062144898,7.7875,"Q","0","1","1"
"84","1","male",28,47.1,"S","0","0","1"
"85","2","female",17,10.5,"S","0","1","1"
"86","3","female",33,15.85,"S","0","1","0"
"87","3","male",16,34.375,"S","0","0","0"
"88","3","male",26.9650648269124,8.05,"S","0","0","1"
"89","1","female",23,263,"S","1","1","0"
"90","3","male",24,8.05,"S","0","0","1"
"91","3","male",29,8.05,"S","0","0","1"
"92","3","male",20,7.8542,"S","0","0","1"
"93","1","male",46,61.175,"S","1","0","0"
"94","3","male",26,20.575,"S","0","0","0"
"95","3","male",59,7.25,"S","0","0","1"
"96","3","male",30.6981916183121,8.05,"S","0","0","1"
"97","1","male",71,34.6542,"C","1","0","1"
"98","1","male",23,63.3583,"C","1","1","0"
"99","2","female",34,23,"S","0","1","0"
"100","2","male",34,26,"S","0","0","0"
"101","3","female",28,7.8958,"S","0","0","1"
"102","3","male",28.6120060079254,7.8958,"S","0","0","1"
"103","1","male",21,77.2875,"S","1","0","0"
"104","3","male",33,8.6542,"S","0","0","1"
"105","3","male",37,7.925,"S","0","0","0"
"106","3","male",28,7.8958,"S","0","0","1"
"107","3","female",21,7.65,"S","0","1","1"
"108","3","male",27.3836121744658,7.775,"S","0","1","1"
"109","3","male",38,7.8958,"S","0","0","1"
"110","3","female",26.9725555014875,24.15,"Q","0","1","0"
"111","1","male",47,52,"S","1","0","1"
"112","3","female",14.5,14.4542,"C","0","0","0"
"113","3","male",22,8.05,"S","0","0","1"
"114","3","female",20,9.825,"S","0","0","0"
